SAM2 Video Prediction: 04_coffee
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\04_coffee\04_coffee.mp4
Frames: 287, Size: 1280x720
FPS: 30.0
Checkpoint: loaded
Device: cuda
Inference: 53.91s (5.3 FPS)

Frame 152: objs=[1, 2], area=41262
Frame 153: objs=[1, 2], area=41026
Frame 154: objs=[1, 2], area=40675
Frame 155: objs=[1, 2], area=40439
Frame 156: objs=[1, 2], area=40153
Frame 157: objs=[1, 2], area=39955
Frame 158: objs=[1, 2], area=39722
Frame 159: objs=[1, 2], area=39623
Frame 160: objs=[1, 2], area=39455
Frame 161: objs=[1, 2], area=39321
Frame 162: objs=[1, 2], area=39211
Frame 163: objs=[1, 2], area=39094
Frame 164: objs=[1, 2], area=39136
Frame 165: objs=[1, 2], area=39141
Frame 166: objs=[1, 2], area=39275
Frame 167: objs=[1, 2], area=39494
Frame 168: objs=[1, 2], area=39721
Frame 169: objs=[1, 2], area=40001
Frame 170: objs=[1, 2], area=40212
Frame 171: objs=[1, 2], area=40545
Frame 172: objs=[1, 2], area=40819
Frame 173: objs=[1, 2], area=41085
Frame 174: objs=[1, 2], area=41324
Frame 175: objs=[1, 2], area=41681
Frame 176: objs=[1, 2], area=42751
Frame 177: objs=[1, 2], area=43555
Frame 178: objs=[1, 2], area=44022
Frame 179: objs=[1, 2], area=44887
Frame 180: objs=[1, 2], area=45244
Frame 181: objs=[1, 2], area=45887
Frame 182: objs=[1, 2], area=46458
Frame 183: objs=[1, 2], area=46937
Frame 184: objs=[1, 2], area=47177
Frame 185: objs=[1, 2], area=47316
Frame 186: objs=[1, 2], area=47734
Frame 187: objs=[1, 2], area=47893
Frame 188: objs=[1, 2], area=48203
Frame 189: objs=[1, 2], area=48778
Frame 190: objs=[1, 2], area=48668
Frame 191: objs=[1, 2], area=48982
Frame 192: objs=[1, 2], area=49407
Frame 193: objs=[1, 2], area=49453
Frame 194: objs=[1, 2], area=49579
Frame 195: objs=[1, 2], area=49813
Frame 196: objs=[1, 2], area=50023
Frame 197: objs=[1, 2], area=50260
Frame 198: objs=[1, 2], area=50351
Frame 199: objs=[1, 2], area=50222
Frame 200: objs=[1, 2], area=49426
Frame 201: objs=[1, 2], area=49148
Frame 202: objs=[1, 2], area=48867
Frame 203: objs=[1, 2], area=48849
Frame 204: objs=[1, 2], area=48454
Frame 205: objs=[1, 2], area=48015
Frame 206: objs=[1, 2], area=47696
Frame 207: objs=[1, 2], area=47396
Frame 208: objs=[1, 2], area=47155
Frame 209: objs=[1, 2], area=46817
Frame 210: objs=[1, 2], area=46576
Frame 211: objs=[1, 2], area=46368
Frame 212: objs=[1, 2], area=46131
Frame 213: objs=[1, 2], area=45715
Frame 214: objs=[1, 2], area=45053
Frame 215: objs=[1, 2], area=44542
Frame 216: objs=[1, 2], area=44083
Frame 217: objs=[1, 2], area=43503
Frame 218: objs=[1, 2], area=43207
Frame 219: objs=[1, 2], area=42539
Frame 220: objs=[1, 2], area=41826
Frame 221: objs=[1, 2], area=41562
Frame 222: objs=[1, 2], area=41216
Frame 223: objs=[1, 2], area=41063
Frame 224: objs=[1, 2], area=40906
Frame 225: objs=[1, 2], area=40811
Frame 226: objs=[1, 2], area=40632
Frame 227: objs=[1, 2], area=40460
Frame 228: objs=[1, 2], area=40282
Frame 229: objs=[1, 2], area=40209
Frame 230: objs=[1, 2], area=40151
Frame 231: objs=[1, 2], area=40095
Frame 232: objs=[1, 2], area=39968
Frame 233: objs=[1, 2], area=39952
Frame 234: objs=[1, 2], area=39855
Frame 235: objs=[1, 2], area=39751
Frame 236: objs=[1, 2], area=39623
Frame 237: objs=[1, 2], area=39451
Frame 238: objs=[1, 2], area=39348
Frame 239: objs=[1, 2], area=39226
Frame 240: objs=[1, 2], area=39194
Frame 241: objs=[1, 2], area=39205
Frame 242: objs=[1, 2], area=39212
Frame 243: objs=[1, 2], area=39342
Frame 244: objs=[1, 2], area=39484
Frame 245: objs=[1, 2], area=39707
Frame 246: objs=[1, 2], area=39921
Frame 247: objs=[1, 2], area=40163
Frame 248: objs=[1, 2], area=40365
Frame 249: objs=[1, 2], area=40620
Frame 250: objs=[1, 2], area=40800
Frame 251: objs=[1, 2], area=41078
Frame 252: objs=[1, 2], area=41365
Frame 253: objs=[1, 2], area=41608
Frame 254: objs=[1, 2], area=43011
Frame 255: objs=[1, 2], area=44139
Frame 256: objs=[1, 2], area=45277
Frame 257: objs=[1, 2], area=46071
Frame 258: objs=[1, 2], area=46680
Frame 259: objs=[1, 2], area=47770
Frame 260: objs=[1, 2], area=48309
Frame 261: objs=[1, 2], area=48590
Frame 262: objs=[1, 2], area=49466
Frame 263: objs=[1, 2], area=49878
Frame 264: objs=[1, 2], area=50297
Frame 265: objs=[1, 2], area=51155
Frame 266: objs=[1, 2], area=52256
Frame 267: objs=[1, 2], area=53624
Frame 268: objs=[1, 2], area=54528
Frame 269: objs=[1, 2], area=55424
Frame 270: objs=[1, 2], area=56052
Frame 271: objs=[1, 2], area=55648
Frame 272: objs=[1, 2], area=55727
Frame 273: objs=[1, 2], area=55929
Frame 274: objs=[1, 2], area=55916
Frame 275: objs=[1, 2], area=55672
Frame 276: objs=[1, 2], area=55435
Frame 277: objs=[1, 2], area=55181
Frame 278: objs=[1, 2], area=54615
Frame 279: objs=[1, 2], area=54015
Frame 280: objs=[1, 2], area=53090
Frame 281: objs=[1, 2], area=52512
Frame 282: objs=[1, 2], area=51690
Frame 283: objs=[1, 2], area=51044
Frame 284: objs=[1, 2], area=49953
Frame 285: objs=[1, 2], area=49486
Frame 286: objs=[1, 2], area=48648
